SymInit: Symbol-SearchPath: '.;E:\Clownfish\ClownfishVoiceChanger;E:\Clownfish\ClownfishVoiceChanger;C:\WINDOWS;C:\WINDOWS\system32;SRV*C:\websymbols*http://msdl.microsoft.com/download/symbols;', symOptions: 530, UserName: 'shaik'
OS-Version: 6.2.9200 () 0x100-0x1
E:\Clownfish\ClownfishVoiceChanger\ClownfishVoiceChanger.exe:ClownfishVoiceChanger.exe (00007FF7B8940000), size: 843776 (result: 0), SymType: '-nosymbols-', PDB: 'E:\Clownfish\ClownfishVoiceChanger\ClownfishVoiceChanger.exe', fileVersion: 1.6.6.0
C:\WINDOWS\System32\mswsock.dll:mswsock.dll (00007FFA8A370000), size: 421888 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\System32\mswsock.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\SYSTEM32\DNSAPI.dll:DNSAPI.dll (00007FFA89A70000), size: 946176 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\DNSAPI.dll', fileVersion: 6.2.22000.282
C:\WINDOWS\SYSTEM32\IPHLPAPI.DLL:IPHLPAPI.DLL (00007FFA89A40000), size: 184320 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\IPHLPAPI.DLL', fileVersion: 6.2.22000.282
C:\WINDOWS\System32\NSI.dll:NSI.dll (00007FFA8CBD0000), size: 36864 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\System32\NSI.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\System32\winrnr.dll:winrnr.dll (00007FFA6A150000), size: 73728 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\System32\winrnr.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\system32\wshbth.dll:wshbth.dll (00007FFA84450000), size: 86016 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\system32\wshbth.dll', fileVersion: 6.2.22000.41
C:\WINDOWS\system32\nlansp_c.dll:nlansp_c.dll (00007FFA69910000), size: 126976 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\system32\nlansp_c.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\System32\fwpuclnt.dll:fwpuclnt.dll (00007FFA84260000), size: 528384 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\System32\fwpuclnt.dll', fileVersion: 6.2.22000.438
C:\Windows\System32\rasadhlp.dll:rasadhlp.dll (00007FFA824E0000), size: 40960 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\rasadhlp.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\SYSTEM32\TextShaping.dll:TextShaping.dll (00007FFA69690000), size: 712704 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\TextShaping.dll'
C:\Windows\System32\devenum.dll:devenum.dll (00007FFA7E560000), size: 155648 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\devenum.dll', fileVersion: 6.2.22000.469
C:\WINDOWS\System32\setupapi.dll:setupapi.dll (00007FFA8B760000), size: 4636672 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\System32\setupapi.dll', fileVersion: 6.2.22000.469
C:\WINDOWS\System32\WINTRUST.dll:WINTRUST.dll (00007FFA8B690000), size: 421888 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\System32\WINTRUST.dll', fileVersion: 6.2.22000.527
C:\WINDOWS\System32\CRYPT32.dll:CRYPT32.dll (00007FFA8B4A0000), size: 1449984 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\System32\CRYPT32.dll', fileVersion: 6.2.22000.348
C:\WINDOWS\SYSTEM32\MSASN1.dll:MSASN1.dll (00007FFA8A610000), size: 73728 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\MSASN1.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\SYSTEM32\msdmo.dll:msdmo.dll (00007FFA7E590000), size: 45056 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\msdmo.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\SYSTEM32\dsound.dll:dsound.dll (00007FFA40180000), size: 663552 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\dsound.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\SYSTEM32\ResampleDmo.DLL:ResampleDmo.DLL (00007FFA3C180000), size: 724992 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\ResampleDmo.DLL', fileVersion: 6.2.22000.1
C:\Windows\System32\qcap.dll:qcap.dll (00007FFA7DE00000), size: 237568 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\qcap.dll', fileVersion: 6.2.22000.1
C:\Windows\System32\Windows.UI.dll:Windows.UI.dll (00007FFA72890000), size: 1605632 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\Windows.UI.dll', fileVersion: 6.2.22000.1
